amount,payment_method,hour,day_of_week,account_age_days,total_transactions,avg_transaction_amount,failed_transactions,previous_fraud_count,transactions_last_5min,transactions_last_1hour,transactions_last_24hours,amount_last_1hour,time_since_last_transaction,new_receiver,fraud
601.46,ACCOUNT,3,1,1410,43,1290.74,4,0,2,0,10,1661.95,800.5331653148903,0,0
819.18,UPI,2,5,612,39,691.83,2,0,0,1,9,595.07,516.7610412251245,0,0
600.82,UPI,3,4,1359,41,1249.83,2,0,0,2,8,1065.67,4089.604769426227,0,0
6990.3,UPI,5,5,497,50,1311.36,2,0,0,3,6,2450.53,13598.702696962378,0,0
1081.93,ACCOUNT,23,3,875,49,1173.09,2,0,0,2,7,1040.81,3097.708750949248,0,0
380.81,UPI,1,6,838,47,2265.02,2,2,0,0,6,1066.58,1390.5284665329425,0,1
2496.25,ACCOUNT,9,5,403,46,500.92,5,0,0,7,10,1121.2,2117.281159230824,0,0
323.49,UPI,1,3,1335,43,1342.38,0,0,0,3,10,4476.14,8056.535181517926,0,0
1351.36,UPI,10,0,748,35,655.08,0,0,0,1,10,2026.41,1721.9029221647834,0,0
154.52,UPI,11,4,846,46,691.23,2,0,3,1,10,2777.82,17026.922190937305,0,0
290.56,UPI,4,1,989,34,412.36,1,0,0,1,11,10669.84,1138.1793236762953,0,0
1335.23,UPI,7,4,562,35,484.0,2,0,0,3,6,1615.52,3894.7866417310897,0,0
2294.95,UPI,13,3,1118,36,6989.47,3,1,0,3,4,442.92,1993.4190931537996,0,1
1301.62,UPI,14,5,1299,40,320.36,1,0,0,2,9,966.76,968.3936432896412,0,0
976.87,ACCOUNT,9,2,427,41,2103.32,2,0,0,2,6,4597.75,7418.037891804389,0,0
811.51,UPI,12,2,209,38,1348.08,1,0,1,4,13,1040.06,6206.7993773773,0,0
250.0,UPI,11,2,220,41,422.74,0,0,1,1,5,1957.63,4464.272225840264,0,0
533.87,UPI,21,6,811,36,250.59,1,0,0,0,6,2173.71,3982.1815389758685,0,0
691.84,UPI,10,3,132,49,277.78,0,0,0,0,10,1261.52,2061.8174067499604,0,0
3156.19,UPI,4,0,881,38,1771.02,3,0,0,3,10,748.51,3350.744416597982,0,1
1546.3,ACCOUNT,20,5,255,41,484.05,2,0,0,4,9,3422.54,2832.7249206248507,0,0
188.1,UPI,20,6,1397,36,818.05,2,0,0,2,13,901.96,2539.655151825926,0,0
1516.38,ACCOUNT,0,5,762,41,560.51,3,0,1,3,5,2841.9,5718.795881725836,1,0
746.14,ACCOUNT,21,5,712,34,1506.46,2,0,0,1,6,2047.81,971.549782608685,1,0
557.29,UPI,22,4,844,44,368.91,2,0,0,1,7,689.9,5849.439335915208,0,0
2021.66,ACCOUNT,10,1,1396,37,1157.2,1,0,1,2,8,4557.09,3072.7316515115212,1,0
3074.81,UPI,3,6,801,50,290.13,1,1,0,0,11,228.58,3426.422026988834,0,0
2782.99,UPI,17,6,339,52,1185.28,5,0,0,2,6,271.45,8068.23407588735,0,0
473.8,UPI,17,1,408,40,3011.5,3,0,0,3,7,850.09,6372.691546026995,1,0
804.96,UPI,20,3,1420,40,1357.61,2,0,1,0,11,2392.72,929.4611158063119,1,0
1527.31,UPI,17,5,203,36,1722.37,1,0,0,1,6,380.17,8217.390698520188,0,0
2908.94,UPI,17,6,1198,35,1559.97,2,0,0,3,4,1531.95,620.8363432126569,0,0
679.14,ACCOUNT,1,6,1156,42,857.69,4,0,0,2,6,5053.61,1456.5656625401534,1,0
910.82,UPI,13,6,378,41,2522.53,0,0,0,3,7,502.05,4546.1121524422615,0,0
362.73,UPI,5,3,288,38,348.45,4,0,0,0,11,3294.03,3706.576174711241,0,0
331.55,UPI,16,6,1460,32,686.44,2,0,1,1,4,3954.26,424.48849560921735,0,0
2471.36,ACCOUNT,1,1,1036,27,289.54,2,0,0,0,7,1211.16,6817.203635607055,0,0
4256.66,UPI,21,0,1497,34,492.05,1,0,1,1,5,420.05,1251.470203044825,0,0
1020.44,ACCOUNT,19,2,311,45,699.03,0,0,0,1,8,9081.94,11048.288019788102,0,0
2991.51,UPI,20,6,429,47,909.23,2,0,1,2,9,6090.5,1868.4427928645216,0,0
1574.41,ACCOUNT,17,6,247,39,1119.04,1,0,1,0,5,1543.75,4077.460391187775,0,0
575.29,UPI,18,1,251,43,878.9,2,0,2,2,6,1405.9,930.0708155338972,0,0
1574.03,UPI,21,2,1334,56,293.64,2,0,0,4,9,6623.55,4961.79058041113,1,0
5105.31,UPI,15,6,960,53,546.2,3,0,0,2,8,984.11,5978.345821101736,1,0
1058.04,UPI,14,1,655,36,1295.99,2,0,0,4,6,315.16,197.55564522605877,0,0
5242.97,UPI,22,5,175,32,690.99,2,0,0,3,6,178.06,1016.7383946610287,0,0
79.86,UPI,23,5,252,47,1081.05,2,0,0,2,6,1050.33,971.2327256180163,1,0
2494.65,UPI,22,3,28,33,870.2,2,0,2,0,4,6095.24,504.7729127005038,1,0
1196.37,UPI,6,5,1438,35,4011.54,2,0,0,0,8,462.23,733.3374981244435,1,0
813.21,UPI,16,0,1198,42,751.95,1,0,0,2,11,1768.71,3952.105057918065,0,0
1202.02,UPI,23,3,342,37,1941.78,5,0,2,4,10,866.35,4204.115305573595,0,0
150.27,UPI,18,4,467,39,1127.9,2,0,2,3,13,802.11,2833.6685396441258,0,0
880.36,UPI,15,3,479,39,1036.6,1,0,0,4,10,1405.97,2199.894614696081,0,0
1567.3,ACCOUNT,14,5,492,33,836.34,1,0,1,1,9,1746.54,1133.9709659930804,0,0
4807.32,UPI,4,6,1443,43,813.96,3,0,0,1,18,762.97,3147.0078830596326,1,0
653.1,UPI,13,0,75,50,541.06,3,0,0,1,6,722.65,1501.5742588623698,0,0
488.58,UPI,10,1,582,36,526.12,2,0,1,2,6,26686.97,1338.9557434481299,0,0
663.97,UPI,5,2,1449,41,452.81,3,0,2,4,9,1789.79,3573.6652892355714,0,0
2739.15,UPI,6,5,294,41,234.18,1,0,0,2,5,1554.65,276.91386993137206,0,0
1523.48,ACCOUNT,16,3,1413,32,316.94,2,0,1,1,11,1967.58,2414.5001121390283,1,0
645.64,UPI,14,1,411,59,3063.55,1,0,0,3,9,407.35,4806.902463949924,0,0
1832.19,ACCOUNT,0,1,245,38,571.51,2,0,0,2,5,929.95,2605.491258184737,0,0
1208.43,ACCOUNT,23,2,1232,39,1228.65,2,0,0,1,7,1443.05,295.92375004256996,0,0
2888.94,ACCOUNT,23,6,1404,33,741.01,2,0,1,1,9,433.61,1915.6061373426223,0,0
543.45,UPI,10,4,554,46,695.19,4,0,1,0,3,77.69,4773.602306747198,0,0
790.24,ACCOUNT,17,6,1363,39,1474.73,1,0,1,1,9,987.16,3983.6321597470283,0,0
740.92,UPI,5,0,1440,44,1109.73,1,1,1,0,9,10094.29,2463.724422669133,0,0
253.78,UPI,13,4,314,41,1614.28,3,0,1,1,8,413.91,7238.625192925682,0,0
1474.57,ACCOUNT,6,0,1499,45,258.98,3,0,0,0,8,730.23,1680.6520290528765,0,0
1423.76,UPI,15,0,502,40,2021.93,3,0,1,0,4,1058.31,2042.4425003073864,0,0
1102.26,UPI,12,1,44,37,1322.33,3,0,0,3,9,1320.87,1883.1950740562054,1,0
867.32,ACCOUNT,10,4,985,38,702.16,2,0,1,1,5,302.97,474.60394470372626,0,0
266.3,UPI,1,4,1062,39,3946.7,1,0,0,3,11,2454.86,15324.410389954206,1,0
720.07,ACCOUNT,3,1,747,51,1082.53,5,0,0,2,8,9139.59,712.3775362316213,1,1
778.43,UPI,20,2,939,28,539.16,3,0,0,2,18,656.59,4704.35486192419,0,0
491.63,UPI,10,0,1273,46,1077.21,0,0,0,2,11,2274.92,4941.948813090418,1,0
933.29,ACCOUNT,5,1,185,46,3245.96,3,0,0,0,5,936.86,12761.471541855577,0,0
1642.63,UPI,12,2,249,31,749.32,2,0,0,1,11,3884.93,2924.5115416671324,0,0
7231.39,ACCOUNT,21,6,541,28,314.98,3,0,1,5,6,220.37,175.43182970380053,0,0
1305.81,ACCOUNT,2,3,776,41,385.08,4,0,0,4,12,778.07,1600.979509910333,0,0
1418.78,UPI,21,5,79,35,353.74,2,0,0,1,9,9768.51,1397.6010831152305,0,0
1017.96,UPI,19,3,662,46,232.19,0,0,2,0,7,949.29,2973.7511253239854,0,0
160.97,UPI,22,1,368,47,1214.7,3,0,0,1,6,5573.81,595.0208373322035,0,0
1067.94,UPI,9,2,189,44,1435.08,6,0,1,5,13,2479.77,12384.633436385935,0,0
1164.71,ACCOUNT,16,4,683,41,546.86,2,0,1,3,7,98.48,6845.770953507458,0,0
12877.57,UPI,3,6,643,42,1656.09,2,0,1,4,7,954.84,1351.7099543582867,0,0
904.73,UPI,13,3,1079,43,422.07,1,0,0,5,10,3142.98,1013.5694354058616,0,0
1482.59,ACCOUNT,14,1,1231,48,686.0,1,0,0,4,4,1846.61,632.1740573915544,0,0
1059.22,UPI,14,3,928,40,460.87,0,0,0,2,10,2434.53,9599.022291686351,0,0
340.81,UPI,18,0,524,32,832.52,3,0,1,2,12,518.86,5011.858318476191,0,0
3438.61,ACCOUNT,23,3,991,34,386.7,2,0,0,5,11,3300.37,410.33043166071224,0,0
2326.06,ACCOUNT,4,3,698,41,828.2,2,0,0,2,5,1364.46,609.1918303806439,0,0
2418.81,UPI,6,4,152,45,567.74,3,0,1,1,9,10805.23,903.9480401862496,0,0
441.69,ACCOUNT,21,0,3,42,1934.54,1,0,1,2,5,456.5,2437.474190137064,0,0
4459.51,UPI,2,6,833,28,735.53,2,1,1,0,5,1082.97,11333.260033730774,0,0
269.93,UPI,7,2,638,39,1181.64,3,0,0,2,3,2274.91,5267.5916273854555,0,0
1972.11,UPI,15,3,1140,37,371.16,3,0,0,3,7,1203.54,3444.540801536132,0,0
9803.12,UPI,4,2,160,45,1291.44,1,0,1,3,11,995.89,1815.0617080164134,0,0
407.26,ACCOUNT,14,5,416,23,289.54,4,0,2,2,10,2267.15,2746.367454525247,0,0
622.47,ACCOUNT,18,1,1476,39,942.84,4,0,1,3,6,762.12,2926.3465557401123,0,0
1211.54,ACCOUNT,18,0,1045,51,483.05,1,0,0,2,7,200.67,11625.370368643615,0,0
662.83,UPI,0,2,1158,42,1438.38,1,0,0,2,10,1662.44,2334.922029658344,0,0
232.6,UPI,14,2,1095,42,1074.05,4,0,1,0,2,1042.93,6911.910981563212,0,0
1174.46,ACCOUNT,4,6,1083,50,573.96,4,0,0,2,9,315.69,76.1395974669135,0,0
379.06,UPI,19,2,813,38,2470.28,0,0,0,2,5,6038.49,1185.005446382785,0,0
1760.92,UPI,5,0,245,43,957.23,1,0,1,5,16,3295.07,1709.7183364581635,0,0
437.28,UPI,15,0,924,45,165.89,1,0,0,1,12,1044.8,1705.1937393119374,0,0
5166.42,UPI,20,4,930,33,397.73,2,0,0,1,8,1882.01,33.12200658709769,1,0
501.07,UPI,16,4,1079,37,1356.54,2,1,0,3,4,486.54,6953.3453646201215,0,0
794.68,ACCOUNT,17,4,1145,39,347.19,4,0,0,3,6,1360.82,2114.1528969441497,0,0
2473.82,ACCOUNT,9,1,1439,34,1032.38,3,0,1,4,8,3599.4,7.48073534208181,0,0
320.26,ACCOUNT,18,1,363,45,3461.3,1,0,0,2,5,2121.41,4290.907606832035,0,0
1376.72,UPI,12,4,319,40,550.95,2,0,1,3,11,4305.67,1579.0282099556212,0,0
4052.72,ACCOUNT,19,6,695,47,899.78,0,0,0,3,11,1484.02,213.7701750796197,0,0
219.76,ACCOUNT,0,4,11,35,820.52,2,0,0,3,7,731.7,6120.267751149384,0,0
1319.01,UPI,1,3,1312,38,301.75,1,0,0,1,10,5761.83,998.6082699157661,0,0
1422.09,UPI,17,3,1117,44,564.49,3,0,0,1,10,4233.58,5492.91274643239,0,0
2396.64,UPI,16,6,1396,32,116.57,1,0,0,3,9,447.6,1906.1688098455184,1,0
318.32,UPI,16,5,853,50,376.93,2,0,0,1,9,1343.75,7381.040475720063,0,0
292.82,UPI,13,2,1099,37,229.42,2,0,1,4,4,808.47,6596.573926072433,0,0
1848.15,UPI,10,0,1091,34,538.34,3,0,0,0,7,2330.87,18313.418841658357,1,0
1475.84,UPI,18,0,1107,43,3326.35,3,0,1,1,8,1320.91,3835.1981106272297,0,0
1408.8,UPI,23,3,101,41,1073.4,2,0,0,3,3,2389.7,958.6924357409999,0,0
1550.68,ACCOUNT,5,0,1319,31,1012.68,5,0,0,3,4,885.43,516.7923000136665,0,0
555.56,ACCOUNT,12,2,691,38,2015.66,2,0,0,4,8,264.82,11295.48664051932,0,0
1383.34,UPI,0,2,787,30,258.81,3,0,2,3,9,2029.05,8840.465675790165,0,0
1470.08,UPI,3,4,793,37,876.87,1,0,1,0,8,2853.97,332.78227937729895,0,0
536.81,ACCOUNT,18,1,425,33,474.83,3,0,0,2,12,6438.69,871.8365666539415,0,0
7085.28,UPI,22,2,953,50,604.05,2,0,1,1,8,497.67,313.009824454014,0,0
1761.34,ACCOUNT,7,6,376,46,3782.66,2,0,0,2,6,230.47,6311.943591442053,0,0
333.18,UPI,0,3,957,37,843.96,0,0,0,2,12,1720.85,5916.0464225071555,1,0
2114.46,ACCOUNT,1,6,325,42,419.32,1,0,0,2,11,3992.03,192.50081976812515,0,0
413.77,UPI,9,2,772,47,1100.65,1,0,1,1,9,207.84,1534.4737286595305,1,0
2409.28,UPI,18,2,647,34,326.06,2,0,0,2,4,1256.73,564.5619710447587,0,0
3493.28,UPI,19,2,1271,46,354.44,2,0,0,3,7,448.22,9164.959195872108,0,0
482.66,UPI,2,4,211,33,636.39,2,0,1,1,4,245.42,6824.394574635718,1,1
2873.76,ACCOUNT,2,3,838,47,1690.22,2,0,3,1,7,674.84,4059.59260392816,1,0
1657.03,UPI,17,4,993,32,180.12,2,0,1,2,6,368.44,8771.580890976296,0,0
2495.04,UPI,23,3,930,47,115.03,0,0,0,2,11,997.8,133.35931119355098,0,0
7308.5,UPI,18,1,1368,44,432.23,2,0,0,3,7,454.61,25745.98260370015,1,0
858.01,UPI,11,6,1194,47,376.39,1,0,0,2,9,881.46,290.4485179864644,0,0
516.08,UPI,5,2,235,40,835.33,2,0,1,0,5,1754.77,1090.415298938411,0,0
450.56,UPI,3,2,131,42,80.29,5,0,0,2,10,649.1,6463.9432423080825,0,0
485.02,ACCOUNT,4,2,328,39,492.21,0,0,0,4,6,717.7,1502.8028611457098,1,0
1015.26,UPI,7,0,1442,42,461.51,2,1,0,4,4,1608.13,6340.022669270596,0,0
1542.49,UPI,17,0,569,45,1286.34,2,0,0,3,3,7718.97,2232.253581090806,0,0
1446.19,ACCOUNT,0,2,274,34,496.0,0,0,0,2,7,1762.66,4538.897388750132,0,0
2507.86,ACCOUNT,4,3,174,39,418.89,1,0,0,0,6,765.44,626.2210794590725,1,0
1110.98,ACCOUNT,18,3,1297,38,1195.13,0,0,0,3,9,4725.61,4250.051035843259,0,0
4691.62,ACCOUNT,13,5,1367,39,1285.85,2,0,0,3,6,939.04,180.68745001817504,1,0
841.63,ACCOUNT,9,6,1127,39,783.96,1,0,1,3,13,876.85,5121.2180761974405,0,0
16650.06,ACCOUNT,14,6,1286,43,653.72,2,0,0,2,9,4283.51,238.18130116241332,1,0
2050.15,UPI,18,3,908,40,137.34,2,0,1,1,7,226.63,7268.870512185051,0,0
465.37,UPI,12,6,90,51,2616.7,2,0,0,0,6,9885.99,879.8275374740069,0,0
375.82,ACCOUNT,20,3,1267,24,554.01,4,0,0,4,8,751.71,3026.964154460599,1,0
1776.63,ACCOUNT,3,0,1301,43,240.56,0,0,0,1,8,1591.34,6617.245177589944,0,0
877.03,UPI,10,0,697,33,442.43,2,0,1,1,8,608.91,58.012747514017725,0,0
2239.48,UPI,17,0,786,47,360.74,1,0,0,2,12,4590.56,604.8053063710786,0,0
1760.3,UPI,23,1,814,53,564.28,2,0,1,5,10,999.94,6012.2105389561375,1,0
1019.61,ACCOUNT,21,1,310,35,2382.52,1,0,0,1,8,3736.1,1391.8156115750683,0,0
470.22,ACCOUNT,11,0,1386,48,1447.39,1,0,2,4,4,2796.51,5589.00173276262,0,0
241.09,UPI,2,5,230,41,694.26,1,0,0,1,4,2337.12,2716.3918411704985,0,0
701.69,UPI,17,6,336,39,1110.69,1,0,2,3,2,949.31,1026.487058370209,0,0
2582.2,UPI,16,3,1093,39,256.83,0,0,0,3,8,160.46,1032.2487148827934,0,1
1358.44,UPI,22,4,99,42,506.38,1,0,1,1,9,739.68,6232.736819051598,0,0
315.53,ACCOUNT,7,6,1115,46,415.92,3,1,1,1,8,228.03,4168.254847073182,0,0
1303.99,UPI,11,4,1043,37,439.07,2,0,0,2,6,9261.29,4936.407912739644,0,0
1612.14,ACCOUNT,16,1,445,39,2544.88,1,0,1,5,7,207.51,819.1649812038644,0,0
453.11,UPI,3,6,1017,44,503.75,3,0,1,0,16,3385.61,7738.503761475887,1,0
1278.86,UPI,13,0,313,41,815.13,0,0,1,3,11,2025.87,4508.589513693856,0,0
1162.36,ACCOUNT,14,4,238,39,2083.72,1,0,0,2,6,602.56,6675.35856480802,0,0
349.68,ACCOUNT,8,1,216,34,280.47,2,0,0,4,4,1585.55,2871.6582692180136,0,0
1568.36,UPI,3,3,192,34,539.36,2,0,1,4,8,1060.6,10724.429538975286,1,0
1921.35,ACCOUNT,14,5,377,38,407.33,1,0,2,1,11,277.55,5633.2224426368575,1,0
3239.1,UPI,22,1,199,44,594.26,0,0,0,2,6,767.77,9408.671819007599,0,0
3145.73,UPI,2,4,333,39,2186.71,4,0,0,3,14,1351.63,11046.12133724705,0,0
276.53,ACCOUNT,4,6,1108,35,1829.66,1,0,1,0,7,2169.92,5699.837620580807,0,0
429.31,ACCOUNT,5,1,947,38,748.14,4,0,0,2,7,1711.56,337.79951260358683,0,0
1835.43,UPI,19,4,199,41,246.08,1,0,0,2,6,77.25,925.2953214904052,0,0
1833.14,ACCOUNT,9,3,714,38,691.77,3,0,0,2,8,410.15,3737.8767397995616,0,0
1835.46,UPI,18,6,1151,45,212.22,1,1,0,3,12,4253.34,8449.484376030352,0,0
51675.11,UPI,5,0,1028,35,404.34,5,1,0,4,8,572.96,13359.476084073463,0,0
1940.87,UPI,8,1,441,33,751.55,2,0,3,3,6,349.02,184.8109622232176,1,0
3413.75,UPI,18,0,960,42,1325.88,2,0,0,3,10,1302.24,7802.611460495924,0,0
2846.94,ACCOUNT,4,0,95,31,147.11,0,0,0,1,12,1176.27,1479.0090039378406,0,0
2103.57,ACCOUNT,10,1,900,36,700.89,1,0,0,2,11,311.26,143.34957918023073,0,0
800.1,ACCOUNT,12,3,1168,46,1122.9,3,0,0,3,13,4740.84,9101.849400664316,0,0
2342.49,UPI,8,4,362,46,883.74,2,0,0,2,12,646.14,33.15049614429013,0,0
506.32,ACCOUNT,14,5,391,42,782.31,2,0,0,4,9,664.65,3764.3085818371287,0,0
865.39,ACCOUNT,21,5,1349,41,411.71,3,0,0,2,7,1365.56,167.79808794848927,1,0
674.95,UPI,2,0,198,32,731.7,4,0,0,2,6,1127.23,6475.326135276082,0,0
1190.2,UPI,3,6,1026,41,1718.45,5,0,0,2,4,4079.52,895.2532808290165,1,0
11099.54,ACCOUNT,17,2,312,33,404.46,0,1,0,0,7,438.29,3662.8386433653723,0,0
169.48,UPI,7,3,991,44,464.45,1,0,1,4,9,1685.02,2406.415687048618,0,0
2178.21,UPI,20,0,890,39,1979.17,3,0,0,1,1,1021.16,2280.922372042418,0,0
218.61,UPI,8,3,866,37,272.88,1,0,0,3,6,1606.43,3677.1638989556745,0,0
684.08,ACCOUNT,16,2,92,43,390.74,2,0,0,2,13,1282.17,6923.277462471713,0,0
3258.27,ACCOUNT,14,0,1413,39,402.53,3,0,1,0,7,1593.15,82.40748051979877,0,0
1169.44,UPI,16,1,555,41,492.99,4,0,1,2,5,4739.41,12114.181389078009,0,0
373.25,UPI,17,3,146,43,328.66,3,0,2,3,6,292.49,13308.850764525976,0,0
536.3,ACCOUNT,11,0,1291,39,603.64,5,0,1,5,4,5449.66,608.870540768637,0,0
2163.75,ACCOUNT,6,6,994,40,841.11,4,0,0,2,4,4220.26,300.56886776358004,0,0
528.28,ACCOUNT,0,6,1089,38,1224.47,4,1,1,2,10,785.07,2147.433030738538,0,0
1361.66,ACCOUNT,16,2,700,43,706.26,1,0,0,1,6,712.05,1107.4222780260993,0,0
1147.76,UPI,23,4,875,41,524.66,4,0,1,2,8,2405.21,1013.0587174556481,1,0
571.58,UPI,8,2,43,46,256.21,3,0,1,4,5,745.95,833.7759099602025,0,0
9357.6,UPI,4,0,108,42,369.13,1,0,0,1,6,1186.4,2016.8904356958506,1,1
2067.14,ACCOUNT,15,1,756,35,968.11,2,0,0,2,9,122.27,1138.170559558812,0,0
144.73,ACCOUNT,11,2,16,43,236.1,3,0,0,3,7,1200.52,116.22921720694923,0,0
1321.41,ACCOUNT,19,5,165,41,201.37,5,0,0,1,10,7743.33,2523.2905916288646,0,0
565.78,UPI,3,0,1245,62,241.83,3,0,2,1,11,406.81,2920.4853540746626,0,0
2571.99,ACCOUNT,22,3,625,43,1578.41,1,0,1,3,9,1654.96,2089.6991685854214,1,0
496.45,ACCOUNT,13,0,1091,45,662.89,1,0,1,5,15,2259.02,2416.6107130918836,0,0
977.76,UPI,11,1,735,43,768.18,3,0,0,2,7,2012.65,3783.1045508303473,0,0
1817.08,ACCOUNT,23,4,1144,44,602.47,0,0,1,1,7,930.56,1554.1637760866552,0,0
2606.48,ACCOUNT,21,5,1469,37,1631.42,0,0,1,3,13,892.91,10790.351084589576,0,0
330.2,ACCOUNT,21,3,683,34,781.14,2,0,0,2,6,985.71,3462.3806549309006,1,0
784.85,ACCOUNT,13,5,1382,47,752.7,3,0,0,2,7,9028.67,572.6997378191921,0,0
682.02,ACCOUNT,0,1,264,35,568.61,3,0,1,1,14,2123.42,798.5660833252997,1,0
570.59,UPI,23,6,806,39,539.35,2,0,0,1,9,111.59,1466.1740005621734,1,0
6408.97,ACCOUNT,10,6,1324,51,1275.77,2,0,0,3,7,1209.16,5616.138362732246,0,0
1644.15,UPI,14,3,940,40,466.44,1,0,1,2,6,1090.59,3803.2096131788635,0,0
310.79,ACCOUNT,11,1,1159,34,500.76,5,0,0,1,11,3640.23,2061.546308738814,0,0
2745.89,UPI,4,3,1157,40,893.64,1,0,0,3,14,379.47,7232.555203712007,0,0
9155.92,UPI,22,1,833,28,160.52,1,0,0,2,8,2536.0,4181.829998676974,0,0
3079.32,UPI,20,5,625,37,1132.09,3,0,1,1,7,384.71,10821.779433644357,0,0
240.0,UPI,6,6,1120,36,210.13,1,0,0,1,4,1785.81,4781.632325869034,1,0
675.71,UPI,6,4,168,37,1484.57,4,0,1,1,5,2108.07,3414.5797477019996,1,0
3892.91,ACCOUNT,18,6,1494,43,1746.35,1,0,1,2,9,606.5,5705.3457873284315,0,0
540.41,ACCOUNT,3,1,1476,36,2196.13,2,0,0,1,8,692.68,7369.573539055486,0,0
1709.27,ACCOUNT,20,3,416,41,687.11,4,1,0,3,8,791.43,1420.5242056313798,1,1
2379.47,UPI,21,4,1313,31,442.99,3,0,1,1,10,507.34,12579.176574870893,0,0
434.01,UPI,10,2,143,30,775.65,3,0,1,4,11,1636.37,1758.5623080631874,0,0
1033.26,ACCOUNT,2,5,810,32,1608.26,2,0,0,1,8,9858.16,1909.1045689595765,0,0
42.89,ACCOUNT,4,3,145,40,234.91,3,1,1,1,12,1755.55,16548.98384058788,0,0
393.71,UPI,8,5,444,28,590.27,0,0,0,3,6,416.27,768.4022937636335,1,0
851.87,UPI,16,6,1010,47,566.82,3,0,0,1,7,6922.43,7535.386242778652,0,0
314.89,ACCOUNT,6,5,1370,35,2046.11,4,0,1,2,6,6541.83,3590.3913529135684,0,0
5610.59,ACCOUNT,8,3,1240,45,1639.52,2,0,1,2,14,336.61,8460.827852663797,0,0
262.4,ACCOUNT,17,1,1393,41,2641.87,1,0,0,1,11,886.05,3524.734346050151,1,0
706.24,UPI,9,6,523,28,374.78,0,0,1,1,8,92.11,124.67459609116563,0,0
1249.8,UPI,5,0,1221,37,429.52,3,0,0,6,10,724.46,668.7910625834294,0,0
4634.45,ACCOUNT,17,4,558,33,427.5,1,1,0,1,7,2045.48,396.6032886766115,1,0
260.9,ACCOUNT,17,3,471,44,3045.61,2,0,1,3,9,3795.97,841.7756572900943,1,0
3509.27,ACCOUNT,3,6,475,47,469.85,1,0,1,4,7,1106.4,7632.486115431758,0,0
1107.91,UPI,3,4,389,33,971.55,3,0,0,4,6,2116.39,3281.2057319018013,0,0
410.96,ACCOUNT,15,2,1244,45,537.06,0,0,0,4,9,3070.93,7445.048924665976,0,0
1740.81,UPI,3,1,1011,43,1051.49,3,0,0,1,11,378.64,2640.3108982797626,0,0
1338.17,UPI,0,4,468,39,764.62,8,0,0,4,7,2289.0,945.2606455555343,0,0
