amount,payment_method,hour,day_of_week,account_age_days,total_transactions,avg_transaction_amount,failed_transactions,previous_fraud_count,transactions_last_5min,transactions_last_1hour,transactions_last_24hours,amount_last_1hour,time_since_last_transaction,new_receiver,amount_ratio,velocity_5min_ratio,fraud
559.33,UPI,8,4,1234,51,1273.05,0,0,0,0,3,0.0,881.4,0,0.439,0.0,0
2079.54,UPI,20,2,818,35,1471.15,1,0,0,0,4,0.0,1496.27,0,1.4126,0.0,0
415.61,ACCOUNT,0,5,665,47,494.62,0,0,1,1,3,323.24,20512.32,0,0.8386,0.25,0
5858.0,UPI,15,3,676,49,770.29,2,0,0,0,4,0.0,1755.41,0,7.5951,0.0,0
1735.08,ACCOUNT,19,2,341,51,1589.07,1,0,0,1,4,1992.91,229.68,0,1.0912,0.0,0
1237.93,UPI,16,3,139,49,2000.18,0,0,0,0,6,0.0,50.94,0,0.6186,0.0,0
974.42,ACCOUNT,7,4,832,49,882.75,0,0,1,1,2,1253.43,1239.43,0,1.1026,0.3333,0
2763.51,UPI,15,3,1331,54,2401.81,1,1,0,0,6,0.0,3437.06,1,1.1501,0.0,0
352.83,ACCOUNT,3,6,96,48,273.25,0,0,0,0,6,0.0,1624.54,0,1.2865,0.0,0
1594.43,UPI,11,0,1287,42,1492.48,0,0,0,0,6,0.0,12047.37,1,1.0676,0.0,0
3686.47,ACCOUNT,7,4,1241,54,943.23,2,0,0,4,10,2851.5,402.05,0,3.9042,0.0,0
1055.17,UPI,18,5,415,42,1259.37,0,0,0,1,11,1373.19,12416.73,0,0.8372,0.0,0
206.29,UPI,11,5,947,54,141.47,5,0,1,1,5,205.71,3048.57,0,1.4479,0.1667,0
365.07,ACCOUNT,8,6,248,65,639.34,0,0,0,0,7,0.0,7971.13,0,0.5701,0.0,0
203.15,ACCOUNT,1,4,1137,61,855.31,1,0,2,2,6,1400.55,557.56,0,0.2372,0.2857,0
1537.65,UPI,2,5,1051,55,670.74,0,0,0,1,3,872.59,5795.8,0,2.289,0.0,0
298.34,UPI,2,0,532,65,1441.37,3,0,0,0,1,0.0,1008.02,1,0.2068,0.0,0
156.65,UPI,23,0,102,48,474.83,1,0,0,0,5,0.0,1748.94,0,0.3292,0.0,0
1228.91,UPI,3,2,1456,51,1869.32,1,0,0,1,7,2130.05,856.24,0,0.6571,0.0,0
207.38,UPI,12,5,669,49,1273.5,0,0,0,0,6,0.0,2743.34,0,0.1627,0.0,0
304.5,UPI,22,1,1339,39,136.39,1,0,0,0,3,0.0,4039.88,0,2.2162,0.0,0
2214.71,ACCOUNT,17,1,1017,43,2710.7,4,0,0,0,6,0.0,465.73,1,0.8167,0.0,0
1964.47,ACCOUNT,3,4,1167,61,2163.41,1,0,0,0,2,0.0,3547.88,1,0.9076,0.0,0
4229.73,UPI,13,2,1140,53,1518.63,0,0,0,1,7,1032.0,3880.68,0,2.7834,0.0,0
6943.58,UPI,2,1,292,47,2167.5,0,0,0,2,7,2282.76,680.9,0,3.202,0.0,0
566.96,UPI,18,2,546,46,806.14,2,0,0,0,9,0.0,2271.59,0,0.7024,0.0,0
2524.0,ACCOUNT,10,4,700,52,1874.55,1,0,0,0,1,0.0,154.86,0,1.3457,0.0,0
822.1,ACCOUNT,0,5,747,58,707.22,0,0,0,1,2,967.19,6130.49,1,1.1608,0.0,0
480.37,UPI,16,6,66,45,899.44,1,0,1,2,9,2498.34,2166.67,0,0.5335,0.1,0
574.85,UPI,11,1,820,42,510.49,0,0,0,0,5,0.0,776.03,1,1.1239,0.0,0
4135.12,UPI,4,0,232,41,2457.87,0,0,0,2,7,3778.93,2713.38,0,1.6817,0.0,0
643.22,UPI,0,5,1115,51,1153.24,2,0,0,1,8,636.67,798.6,0,0.5573,0.0,0
598.02,UPI,21,3,1024,48,571.31,1,0,0,0,3,0.0,211.05,0,1.0449,0.0,0
2960.32,ACCOUNT,22,2,1383,45,1426.14,2,0,0,0,1,0.0,8407.19,1,2.0743,0.0,0
1097.99,ACCOUNT,12,1,1117,43,1633.25,1,0,0,0,4,0.0,3942.53,0,0.6719,0.0,0
1922.17,UPI,9,0,550,52,927.58,2,0,3,3,8,2656.27,2480.89,0,2.07,0.3333,0
474.47,UPI,1,5,1451,58,692.58,0,0,1,1,3,467.74,2592.12,0,0.6841,0.25,0
3850.0,UPI,20,2,616,58,1005.61,1,0,0,1,3,668.88,9175.61,0,3.8247,0.0,0
556.65,UPI,10,1,489,47,687.44,1,0,0,0,5,0.0,1536.92,0,0.8086,0.0,0
444.95,UPI,6,5,1358,55,614.34,4,0,0,0,5,0.0,3559.18,0,0.7231,0.0,0
966.19,UPI,6,5,556,60,610.62,2,0,0,0,3,0.0,6029.79,0,1.5797,0.0,0
5418.31,UPI,23,2,115,60,1865.28,1,0,0,3,4,3738.92,7737.96,0,2.9033,0.0,0
1057.28,UPI,15,0,704,43,1033.0,1,0,2,2,10,2448.7,9223.65,0,1.0225,0.1818,0
4486.21,ACCOUNT,23,3,1193,33,3380.8,0,0,0,0,5,0.0,12240.93,0,1.3266,0.0,0
340.34,UPI,18,2,285,57,1268.74,1,0,1,2,5,3508.0,6046.65,0,0.268,0.1667,0
581.45,UPI,8,3,694,60,1211.45,3,1,0,0,10,0.0,15866.66,0,0.4796,0.0,0
2234.39,UPI,8,2,195,41,634.59,4,0,0,2,7,1873.57,1463.59,0,3.5155,0.0,0
1804.84,UPI,4,2,1030,43,1121.0,1,0,0,1,4,1616.96,268.29,0,1.6086,0.0,0
1088.69,UPI,1,1,714,57,1831.58,1,0,0,0,7,0.0,610.93,0,0.5941,0.0,0
1107.84,UPI,0,3,495,50,2565.73,1,0,0,0,2,0.0,3040.32,0,0.4316,0.0,0
929.01,UPI,16,3,341,52,517.27,3,0,0,1,2,685.65,136.21,0,1.7925,0.0,0
750.24,ACCOUNT,2,0,847,40,467.49,0,0,0,0,3,0.0,3092.53,1,1.6014,0.0,0
659.82,UPI,11,6,1005,52,472.91,0,0,0,3,7,1872.56,2640.05,0,1.3923,0.0,0
2681.3,UPI,11,4,1410,58,2450.75,4,0,0,0,3,0.0,1515.35,1,1.0936,0.0,0
1052.36,ACCOUNT,5,1,656,58,1462.45,0,0,1,1,4,1979.94,2717.85,0,0.7191,0.2,0
338.54,ACCOUNT,10,3,241,49,833.36,3,0,0,0,1,0.0,6680.92,0,0.4057,0.0,0
335.15,ACCOUNT,22,2,1249,54,845.04,3,0,0,1,7,1019.09,4334.19,0,0.3961,0.0,0
432.05,ACCOUNT,1,5,945,49,697.61,0,0,0,1,5,558.07,2018.95,0,0.6184,0.0,0
7048.2,UPI,1,4,1050,61,1996.29,1,0,0,0,4,0.0,2247.11,1,3.5289,0.0,0
938.87,UPI,10,0,146,49,179.56,2,0,2,3,7,285.32,13634.04,0,5.1998,0.25,0
1864.36,ACCOUNT,1,6,469,52,940.35,1,0,0,0,2,0.0,440.85,0,1.9805,0.0,0
1443.65,UPI,13,2,1151,53,929.99,2,0,0,0,8,0.0,771.78,0,1.5507,0.0,0
329.0,ACCOUNT,8,1,1248,62,339.59,1,0,0,1,7,232.42,4830.09,1,0.966,0.0,0
440.97,UPI,13,2,653,60,993.19,0,0,0,0,1,0.0,5527.93,0,0.4436,0.0,0
869.93,UPI,19,4,1207,38,1291.38,1,0,0,3,7,5318.24,1532.4,1,0.6731,0.0,0
579.15,UPI,14,5,1262,51,1146.16,1,0,0,2,11,1263.26,5639.39,0,0.5049,0.0,0
6719.82,UPI,6,1,581,57,2428.19,2,0,0,0,1,0.0,6645.87,1,2.7663,0.0,0
6905.83,UPI,5,2,1347,56,3532.12,0,0,0,0,6,0.0,12669.37,0,1.9546,0.0,0
1444.45,UPI,17,4,433,47,775.55,2,0,0,1,2,405.84,1915.46,0,1.8601,0.0,0
5021.78,ACCOUNT,15,4,360,38,1687.05,1,0,0,0,5,0.0,6283.06,0,2.9749,0.0,0
516.87,ACCOUNT,1,0,1024,48,628.69,2,0,0,0,3,0.0,7397.81,1,0.8208,0.0,0
2170.74,ACCOUNT,23,0,955,61,1149.34,1,0,0,0,5,0.0,6037.6,0,1.887,0.0,0
1626.9,ACCOUNT,12,6,210,51,883.07,1,0,0,0,7,0.0,1615.74,1,1.8402,0.0,0
1555.86,UPI,20,3,1249,36,1313.87,0,0,0,1,2,1441.92,11368.51,0,1.1833,0.0,0
456.92,ACCOUNT,19,2,300,54,585.94,1,0,0,0,7,0.0,3565.72,0,0.7785,0.0,0
1030.65,UPI,17,0,1207,48,584.13,1,0,0,0,4,0.0,982.47,0,1.7614,0.0,0
608.81,ACCOUNT,16,3,12,58,621.03,2,0,0,0,8,0.0,1249.88,1,0.9787,0.0,0
728.51,ACCOUNT,21,5,1195,34,3307.23,1,0,0,0,2,0.0,3625.49,1,0.2202,0.0,0
485.97,UPI,10,2,1180,37,354.83,0,0,1,2,3,854.32,1188.27,0,1.3657,0.25,0
926.24,UPI,19,0,1170,49,1648.61,1,0,0,0,3,0.0,6065.66,0,0.5615,0.0,0
650.12,UPI,23,4,997,52,1365.28,0,0,0,0,3,0.0,350.99,1,0.4758,0.0,0
1663.37,UPI,6,4,707,57,1631.05,0,0,1,2,5,2799.83,2371.36,1,1.0192,0.1667,0
833.72,UPI,4,6,1058,46,833.59,0,0,0,0,4,0.0,5602.25,1,0.999,0.0,0
1704.45,UPI,17,3,416,47,840.77,2,0,0,2,5,1830.36,1391.7,0,2.0248,0.0,0
820.37,ACCOUNT,6,0,1171,60,742.96,1,0,0,0,1,0.0,352.74,0,1.1027,0.0,1
2510.79,ACCOUNT,18,0,833,53,767.17,3,0,0,1,3,785.61,1290.23,0,3.2686,0.0,0
1472.49,UPI,5,3,688,52,1458.5,2,0,0,0,3,0.0,945.85,0,1.0089,0.0,0
1379.38,ACCOUNT,4,0,758,58,3451.65,0,0,0,1,4,2991.58,7771.21,0,0.3995,0.0,0
1481.04,UPI,20,1,853,39,1910.11,2,0,0,2,7,5674.3,2657.93,0,0.775,0.0,0
170.76,ACCOUNT,14,6,56,49,253.97,3,0,1,1,6,277.65,2203.14,1,0.6697,0.1429,1
856.48,UPI,0,2,210,43,615.83,2,0,0,1,5,576.89,1067.56,0,1.3885,0.0,0
98.01,UPI,15,4,368,43,548.17,1,0,1,4,11,1964.95,10574.71,0,0.1785,0.0833,0
453.61,UPI,17,5,172,49,292.15,2,0,0,2,4,849.79,450.47,0,1.5474,0.0,0
383.64,UPI,20,0,659,35,551.48,3,0,0,0,6,0.0,6737.23,0,0.6944,0.0,0
362.61,ACCOUNT,12,3,1002,50,468.98,0,0,0,0,6,0.0,2720.77,0,0.7715,0.0,0
628.31,UPI,19,3,981,58,1167.26,1,0,0,0,0,0.0,1120.35,0,0.5378,0.0,0
851.44,ACCOUNT,1,2,707,48,1884.7,2,0,0,0,1,0.0,765.69,0,0.4515,0.0,0
269.11,UPI,8,3,1282,42,943.6,1,0,0,0,3,0.0,3059.63,1,0.2849,0.0,0
852.83,UPI,12,2,848,63,780.78,2,0,0,1,4,864.5,4295.45,0,1.0909,0.0,0
7529.89,UPI,16,6,119,62,3051.59,1,0,0,0,1,0.0,3161.74,0,2.4667,0.0,0
166.74,UPI,20,3,1147,37,509.08,1,0,0,0,2,0.0,6606.14,0,0.3269,0.0,0
448.69,UPI,2,4,862,48,1144.19,0,0,0,0,2,0.0,5959.84,1,0.3918,0.0,0
1757.38,UPI,15,6,952,57,2370.23,1,0,0,2,5,2758.56,806.48,0,0.7411,0.0,0
2821.17,UPI,3,5,848,38,2263.0,2,0,0,1,7,2528.33,2580.94,0,1.2461,0.0,0
1097.67,UPI,12,5,830,55,687.74,1,0,1,1,5,802.6,2281.67,1,1.5937,0.1667,0
4382.74,ACCOUNT,12,5,136,58,1086.38,1,0,0,1,3,896.98,4962.55,0,4.0305,0.0,0
119.69,ACCOUNT,1,0,839,56,193.91,1,0,0,2,4,347.89,5892.57,0,0.6141,0.0,0
2999.96,UPI,3,3,1192,39,1825.25,2,0,0,0,5,0.0,500.44,0,1.6427,0.0,0
10344.02,ACCOUNT,0,6,456,56,3116.95,0,0,0,0,6,0.0,220.85,0,3.3176,0.0,0
2002.71,UPI,6,5,904,59,331.63,2,0,0,0,3,0.0,685.75,0,6.0209,0.0,0
600.15,UPI,1,5,47,51,364.61,2,0,0,0,3,0.0,11672.19,0,1.6415,0.0,0
1157.13,UPI,5,0,521,54,1463.25,0,0,0,0,4,0.0,2270.67,1,0.7903,0.0,0
12996.03,ACCOUNT,1,0,655,64,2078.97,1,0,0,1,4,2211.33,5750.99,0,6.2482,0.0,0
502.77,ACCOUNT,20,2,1474,50,821.11,1,0,0,1,7,1120.21,521.06,0,0.6116,0.0,0
428.16,UPI,13,6,322,51,1072.02,1,0,2,2,5,1255.19,7886.0,0,0.399,0.3333,0
3014.4,UPI,18,2,415,72,765.5,1,0,0,0,3,0.0,11836.49,0,3.9327,0.0,0
307.9,UPI,19,3,613,56,577.36,0,0,0,3,6,2130.97,3308.95,0,0.5324,0.0,0
2163.64,UPI,23,6,1489,53,2126.38,3,0,0,1,4,1709.24,2892.18,0,1.017,0.0,0
1288.19,UPI,4,2,1280,49,663.39,2,0,0,2,8,1029.62,1266.26,0,1.9389,0.0,0
446.8,ACCOUNT,12,6,53,48,408.77,1,0,0,0,6,0.0,2939.27,0,1.0904,0.0,0
482.79,UPI,5,4,351,42,520.54,0,0,0,0,3,0.0,3271.68,1,0.9257,0.0,0
125.52,UPI,4,6,1232,62,327.95,2,0,0,1,5,314.57,504.41,0,0.3816,0.0,0
4849.77,UPI,12,4,88,44,3227.93,1,0,0,1,5,3373.86,401.1,1,1.502,0.0,0
690.62,UPI,4,2,1283,49,907.79,0,0,0,0,4,0.0,1140.35,1,0.7599,0.0,0
330.62,UPI,21,4,422,51,535.32,2,0,0,0,3,0.0,1621.37,0,0.6165,0.0,0
2260.39,UPI,11,2,1376,45,823.01,2,0,0,0,4,0.0,1165.28,1,2.7432,0.0,0
817.73,UPI,18,6,441,53,937.38,1,0,0,3,5,2206.02,1065.21,0,0.8714,0.0,0
1130.13,UPI,6,2,652,41,918.27,0,0,0,1,5,1248.42,4436.12,0,1.2294,0.0,0
373.74,ACCOUNT,0,4,993,57,478.11,0,0,1,3,8,971.61,611.64,0,0.7801,0.1111,0
6855.26,UPI,1,2,190,46,2040.29,1,0,0,1,7,1978.31,2752.5,1,3.3583,0.0,0
654.99,UPI,1,0,835,50,536.73,1,0,0,1,3,547.23,3086.43,1,1.2181,0.0,0
560.71,UPI,8,1,758,62,586.85,1,0,0,0,4,0.0,1140.33,0,0.9538,0.0,0
3156.67,ACCOUNT,22,0,1176,58,1388.89,1,0,0,0,5,0.0,1811.33,0,2.2712,0.0,0
186.17,UPI,2,4,1494,59,741.5,2,0,2,2,9,1919.96,1785.09,0,0.2507,0.2,0
842.61,UPI,4,5,996,48,762.26,1,0,0,2,9,1213.47,1337.53,0,1.104,0.0,0
845.15,ACCOUNT,21,0,614,56,868.56,1,0,0,1,10,616.6,8419.73,1,0.9719,0.0,1
797.74,UPI,19,4,610,65,1753.38,2,0,0,0,4,0.0,2643.18,0,0.4547,0.0,0
1377.67,UPI,15,3,627,51,1308.48,2,0,0,0,3,0.0,3432.91,0,1.0521,0.0,0
1326.96,ACCOUNT,9,2,1221,50,1192.96,1,0,0,1,8,1227.29,5352.48,0,1.1114,0.0,0
1212.21,UPI,4,3,482,49,1297.95,0,0,0,0,4,0.0,10904.66,1,0.9332,0.0,0
303.41,UPI,8,2,251,54,371.01,0,0,0,0,7,0.0,1565.38,1,0.8156,0.0,0
1381.38,UPI,15,6,502,66,1204.19,0,0,1,1,6,1140.8,10777.08,0,1.1462,0.1429,0
465.21,UPI,3,5,35,64,478.71,1,0,0,0,1,0.0,3334.48,0,0.9698,0.0,0
1199.33,ACCOUNT,23,2,160,64,1643.3,1,0,0,3,10,2512.05,2536.67,0,0.7294,0.0,0
1011.69,ACCOUNT,16,4,135,60,567.23,4,0,0,0,2,0.0,2221.77,1,1.7804,0.0,0
1677.69,ACCOUNT,8,6,1157,49,550.27,0,0,0,0,6,0.0,338.22,0,3.0433,0.0,0
236.83,UPI,7,4,1083,54,659.08,1,0,0,1,4,500.53,910.81,0,0.3588,0.0,0
841.89,UPI,0,4,1045,52,996.06,0,0,0,0,8,0.0,3809.67,0,0.8444,0.0,0
339.89,UPI,5,0,693,43,229.42,3,0,0,0,3,0.0,1416.4,0,1.4751,0.0,0
4002.19,UPI,18,6,1075,47,944.06,1,0,0,0,5,0.0,217.48,0,4.2349,0.0,0
2330.4,UPI,16,4,242,51,1225.68,0,0,0,0,2,0.0,475.73,0,1.8998,0.0,0
646.6,ACCOUNT,5,4,1351,46,368.62,0,0,0,2,10,986.91,1009.5,0,1.7494,0.0,0
734.17,ACCOUNT,2,3,752,49,1103.21,0,0,0,0,9,0.0,3717.0,0,0.6649,0.0,0
5693.64,UPI,19,6,1407,53,2497.17,1,0,0,0,6,0.0,1119.76,0,2.2791,0.0,0
2953.43,UPI,13,3,229,59,1061.14,0,0,0,1,3,1121.56,2900.42,1,2.7806,0.0,0
1481.49,UPI,20,1,746,51,987.22,3,0,0,1,7,598.84,1743.53,0,1.4992,0.0,0
543.75,UPI,2,1,1044,45,726.58,3,0,0,1,3,978.18,64.27,1,0.7473,0.0,0
486.21,UPI,21,0,743,42,429.71,2,0,0,1,7,368.79,475.49,0,1.1289,0.0,0
419.63,ACCOUNT,11,6,669,47,462.73,0,0,0,2,4,1014.65,2811.05,0,0.9049,0.0,0
372.88,UPI,16,5,250,55,571.02,1,0,0,2,4,883.1,7247.7,0,0.6519,0.0,0
1048.27,ACCOUNT,11,2,572,57,1132.1,1,0,1,2,4,2386.09,2761.09,0,0.9251,0.2,0
605.07,UPI,15,1,358,46,880.72,0,0,0,0,2,0.0,11682.88,0,0.6862,0.0,0
3084.6,UPI,10,2,452,45,1259.12,3,0,0,0,3,0.0,6453.27,0,2.4479,0.0,0
191.33,ACCOUNT,13,0,1025,57,325.26,5,0,0,0,7,0.0,4139.05,0,0.5864,0.0,0
425.85,ACCOUNT,23,4,945,55,442.67,0,0,0,1,4,335.1,10310.8,0,0.9598,0.0,0
188.91,ACCOUNT,14,5,911,69,483.7,1,0,0,0,7,0.0,4084.68,0,0.3897,0.0,0
1539.89,UPI,20,3,543,50,1805.81,1,0,0,0,6,0.0,297.29,0,0.8523,0.0,0
827.73,ACCOUNT,23,2,1439,50,847.23,1,0,0,0,3,0.0,2273.52,0,0.9758,0.0,0
2715.38,ACCOUNT,15,6,132,52,1118.61,3,0,0,2,7,1863.14,4706.08,0,2.4253,0.0,0
429.63,ACCOUNT,7,3,514,49,560.37,0,0,0,2,7,768.6,11473.84,0,0.7653,0.0,0
2064.47,UPI,23,6,177,49,858.99,1,0,0,1,5,458.24,3030.83,1,2.4006,0.0,0
2376.68,UPI,0,4,509,40,865.49,0,0,0,0,6,0.0,1125.35,0,2.7429,0.0,0
1463.78,UPI,3,5,1442,56,1206.03,1,0,0,0,8,0.0,4027.39,1,1.2127,0.0,1
2346.38,UPI,9,0,550,44,513.89,1,0,0,2,5,1027.34,6247.77,0,4.557,0.0,0
1913.98,ACCOUNT,14,5,1362,58,488.13,2,0,0,0,5,0.0,2911.52,0,3.9131,0.0,0
335.58,ACCOUNT,20,6,743,51,332.61,0,0,1,1,4,260.33,285.72,0,1.0059,0.2,0
955.38,ACCOUNT,6,1,1049,51,287.51,3,1,0,0,2,0.0,541.89,0,3.3115,0.0,0
3185.99,ACCOUNT,15,6,686,71,1072.33,1,0,0,0,6,0.0,2788.39,0,2.9683,0.0,0
131.08,UPI,3,2,399,51,259.7,2,0,0,2,4,747.84,3325.06,0,0.5028,0.0,0
752.53,ACCOUNT,21,0,1146,50,1731.09,2,0,0,0,7,0.0,1212.35,0,0.4345,0.0,0
939.74,ACCOUNT,4,1,1453,47,472.78,2,0,0,0,10,0.0,108.46,0,1.9835,0.0,0
1684.6,UPI,7,5,396,49,1366.88,1,0,3,3,7,2364.74,2240.43,0,1.2315,0.375,0
1130.47,UPI,18,2,1168,43,782.55,0,0,0,1,10,827.28,9342.72,0,1.4428,0.0,0
281.07,UPI,15,6,392,59,370.02,1,0,1,3,5,781.17,4.47,1,0.7576,0.1667,0
5413.7,UPI,6,5,1075,53,2171.62,2,0,0,1,3,1895.07,2289.59,0,2.4918,0.0,0
462.66,ACCOUNT,21,6,1183,42,1217.37,3,0,1,2,9,2989.81,4459.93,0,0.3797,0.1,0
429.25,ACCOUNT,11,6,674,53,518.12,1,0,0,0,3,0.0,774.73,1,0.8269,0.0,0
1161.69,ACCOUNT,2,2,1105,51,730.81,1,0,1,1,6,976.89,3761.84,0,1.5874,0.1429,0
725.36,UPI,13,1,409,46,729.94,1,0,0,1,4,1046.8,6339.03,0,0.9924,0.0,0
306.04,ACCOUNT,16,2,119,42,1111.13,2,0,0,0,6,0.0,2502.34,0,0.2752,0.0,0
222.82,UPI,13,5,145,56,814.87,1,0,0,0,0,0.0,609.58,0,0.2731,0.0,0
162.3,UPI,10,5,671,38,323.24,4,0,0,1,5,171.2,1222.51,1,0.5005,0.0,0
875.85,ACCOUNT,20,5,1354,66,445.44,1,0,0,0,3,0.0,12478.29,0,1.9618,0.0,0
59.68,UPI,3,1,192,39,136.63,0,0,1,5,9,1009.05,432.34,0,0.4336,0.1,0
335.57,UPI,4,0,684,57,857.13,1,0,0,0,3,0.0,4056.25,1,0.391,0.0,0
1871.12,UPI,17,0,1056,50,1314.78,0,0,0,1,3,1806.58,3525.19,0,1.4221,0.0,0
2345.77,ACCOUNT,11,5,304,49,724.37,1,1,1,2,7,1847.08,6221.5,0,3.2339,0.125,1
217.47,UPI,7,2,1082,45,860.83,1,0,0,1,5,888.88,2371.87,0,0.2523,0.0,0
2480.07,UPI,12,1,459,63,1473.57,2,0,0,0,3,0.0,715.61,1,1.6819,0.0,0
774.69,ACCOUNT,22,0,1213,44,3805.24,2,0,0,1,4,3776.31,11073.72,0,0.2035,0.0,0
3518.04,UPI,13,2,869,56,1678.51,0,0,0,2,6,4041.81,919.1,0,2.0947,0.0,0
1034.98,ACCOUNT,10,5,820,50,592.67,1,0,0,0,3,0.0,617.42,0,1.7434,0.0,0
701.06,UPI,21,6,265,44,1638.9,0,0,1,2,4,3440.06,1521.23,0,0.4275,0.2,0
119.96,UPI,15,0,695,49,487.5,1,0,0,1,5,302.01,90.25,0,0.2456,0.0,0
75.11,ACCOUNT,0,0,1285,54,211.3,2,0,0,2,7,389.75,2833.83,0,0.3538,0.0,0
555.61,UPI,7,3,30,55,1319.38,2,0,0,2,5,3596.27,1461.77,0,0.4208,0.0,0
285.82,UPI,16,1,1138,45,326.61,2,0,0,2,4,627.06,224.41,0,0.8724,0.0,0
101.67,ACCOUNT,23,0,739,47,327.49,2,0,0,0,4,0.0,1301.09,1,0.3095,0.0,0
1172.27,ACCOUNT,2,3,1079,51,2179.33,0,0,0,1,3,2827.27,5557.81,0,0.5377,0.0,0
267.65,UPI,1,1,995,51,918.09,5,0,0,2,6,1269.5,16657.68,0,0.2912,0.0,0
361.41,ACCOUNT,2,2,648,54,409.97,0,0,0,1,6,280.28,323.48,0,0.8794,0.0,0
5000.13,UPI,21,5,463,45,4113.49,0,0,1,1,7,5887.08,2142.54,1,1.2152,0.125,0
194.19,UPI,15,4,941,49,938.92,0,0,0,1,10,482.53,718.52,0,0.2066,0.0,0
5429.91,UPI,14,1,211,47,1565.49,1,0,0,1,4,1177.71,2997.13,0,3.4663,0.0,0
853.3,ACCOUNT,0,3,876,38,679.68,1,0,0,1,3,887.71,544.06,0,1.2536,0.0,0
3115.66,ACCOUNT,9,6,142,52,3130.01,1,0,0,1,8,3481.51,2676.27,0,0.9951,0.0,0
272.17,ACCOUNT,11,3,975,52,807.88,3,0,0,1,3,579.12,9280.31,0,0.3365,0.0,0
1459.19,UPI,0,5,943,60,3153.79,0,0,0,0,3,0.0,2611.18,1,0.4625,0.0,0
817.36,UPI,9,3,127,36,630.46,0,0,0,1,4,842.65,1466.0,0,1.2944,0.0,0
824.95,ACCOUNT,2,3,1136,51,729.8,2,0,0,1,3,611.0,4261.81,1,1.1288,0.0,0
1179.4,ACCOUNT,12,0,624,37,1410.99,0,0,0,0,3,0.0,8849.18,0,0.8353,0.0,0
798.54,UPI,0,5,1180,56,1619.41,0,0,0,0,6,0.0,6568.5,0,0.4928,0.0,0
677.74,ACCOUNT,4,5,63,51,1523.66,1,0,0,0,5,0.0,9674.39,0,0.4445,0.0,0
